DATE;Inflation;GDP;Interest_rates;Uneployment
01.01.1999;7.78;10539.20;16.07;15.85
01.04.1999;9.29;10351.80;14.96;17.1
01.07.1999;15;10276.00;14.42;18.23
01.10.1999;14.82;10226.60;13.6;18.69
01.01.2000;15;10344.00;9.36;18.66
01.04.2000;14.71;10448.90;8.17;19.05
01.07.2000;8.92;10516.90;7.59;18.01
01.10.2000;7.95;10584.70;7.58;17.24
01.01.2001;7.25;10653.80;7.39;18.64
01.04.2001;6.68;10770.90;7.44;18.09
01.07.2001;6.91;10815.70;7.58;18.09
01.10.2001;7.22;11043.50;7.54;18.21
01.01.2002;4.46;11081.30;7.47;18.45
01.04.2002;3.32;11194.30;7.93;18.08
01.07.2002;3.57;11444.70;8;17.59
01.10.2002;3.75;11521.30;6.6;17.14
01.01.2003;6.79;11726.10;5.89;16.04
01.04.2003;7.76;11892.70;5.91;15.19
01.07.2003;8.22;11938.10;6.06;14.76
01.10.2003;8.2;12136.10;5.7;14.8
01.01.2004;7.77;12289.20;5.47;15.38
01.04.2004;7.31;12380.20;4.56;14.77
01.07.2004;6.22;12666.30;3.71;13.82
01.10.2004;5.62;12865.50;3.79;13.1
01.01.2005;1.52;13031.60;2.66;12.27
01.04.2005;0.69;13306.80;2.44;11.6
01.07.2005;0.16;13528.10;2.64;11.4
01.10.2005;-0.4;13723.70;2.83;11.32
01.01.2006;1.21;14048.90;3.14;11.04
01.04.2006;1.54;14371.00;3.88;10.77
01.07.2006;2.11;14644.30;4.65;10.21
01.10.2006;2.64;15055.90;4.66;9.51
01.01.2007;2.97;15374.00;4.21;8.8
01.04.2007;2.72;15760.30;3.79;8.42
01.07.2007;2.58;16137.20;4.06;8.4
01.10.2007;3.03;17125.50;4.04;8.12
01.01.2008;3.08;16700.20;4;8.36
01.04.2008;3.37;16898.70;4.04;8.52
01.07.2008;4.12;17123.10;4.01;8.73
01.10.2008;4.77;17300.30;3.36;9.34
01.01.2009;4.35;15724.40;2.01;10.71
01.04.2009;3.88;15955.60;1.31;12.7
01.07.2009;3.33;16191.60;0.87;13.66
01.10.2009;2.24;16462.20;0.72;14.28
01.01.2010;3.34;16669.50;0.66;14.37
01.04.2010;3.45;16825.00;0.69;14.13
01.07.2010;2.98;16987.30;0.87;14.07
01.10.2010;2.72;17095.60;1.02;14.12
01.01.2011;0.73;17190.30;1.09;14.4
01.04.2011;1.45;17321.30;1.41;14.46
01.07.2011;1.53;17415.50;1.56;14.68
01.10.2011;2.07;17555.30;1.5;14.83
01.01.2012;-0.95;17599.50;1.04;14.81
01.04.2012;-0.7;17646.00;0.7;14.77
01.07.2012;-0.47;17687.90;0.36;15
01.10.2012;-0.44;17700.40;0.2;15.51
01.01.2013;5.16;17775.70;0.21;15.76
01.04.2013;4.33;17862.30;0.21;15.62
01.07.2013;3.85;17965.50;0.22;15.23
01.10.2013;3.22;18083.20;0.24;14.89
01.01.2014;0.67;18202.50;0.3;14.58
01.04.2014;0.66;18331.10;0.3;14.45
01.07.2014;0.72;18480.90;0.16;14.23
01.10.2014;0.67;18643.70;0.08;13.91
01.01.2015;0.91;18883.40;0.05;13.71
01.04.2015;0.83;19080.50;-0.01;13.32
01.07.2015;0.83;19297.30;-0.03;13.02
01.10.2015;0.81;19472.30;-0.09;12.55
01.01.2016;0.76;19591.30;-0.19;11.8
01.04.2016;0.85;19717.70;-0.26;10.9
01.07.2016;0.84;19839.60;-0.3;10.92
01.10.2016;1.18;19983.00;-0.31;10.28
01.01.2017;2.58;20138.70;-0.33;9.61
01.04.2017;2.57;20311.70;-0.33;8.76
01.07.2017;2.73;20488.00;-0.33;7.78
01.10.2017;2.71;20716.40;-0.33;7.25
01.01.2018;2.48;20933.40;-0.33;6.84
01.04.2018;3.04;21182.20;-0.33;6.7
