DATE;Inflation;GDP;Interest_rates;Uneployment
1.1.1999;4.19;10539.20;16.7;15.85
1.4.1999;2.4;10351.80;14.96;17.1
1.7.1999;6.4;10276.00;14.42;18.23
1.10.1999;1.49;10226.60;13.6;18.69
1.1.2000;4.35;10344.00;9.36;18.66
1.4.2000;2.14;10448.90;8.17;19.5
1.7.2000;0.69;10516.90;7.59;18.1
1.10.2000;0.59;10584.70;7.58;17.24
1.1.2001;3.67;10653.80;7.39;18.64
1.4.2001;1.6;10770.90;7.44;18.9
1.7.2001;0.9;10815.70;7.58;18.9
1.10.2001;0.88;11043.50;7.54;18.21
1.1.2002;1.1;11081.30;7.47;18.45
1.4.2002;0.49;11194.30;7.93;18.8
1.7.2002;1.14;11444.70;8;17.59
1.10.2002;1.6;11521.30;6.6;17.14
1.1.2003;3.96;11726.10;5.89;16.4
1.4.2003;1.41;11892.70;5.91;15.19
1.7.2003;1.57;11938.10;6.6;14.76
1.10.2003;1.4;12136.10;5.7;14.8
1.1.2004;3.55;12289.20;5.47;15.38
1.4.2004;0.98;12380.20;4.56;14.77
1.7.2004;0.53;12666.30;3.71;13.82
1.10.2004;0.47;12865.50;3.79;13.1
1.1.2005;-0.46;13031.60;2.66;12.27
1.4.2005;0.15;13306.80;2.44;11.6
1.7.2005;0;13528.10;2.64;11.4
1.10.2005;-0.09;13723.70;2.83;11.32
1.1.2006;1.15;14048.90;3.14;11.4
1.4.2006;0.48;14371.00;3.88;10.77
1.7.2006;0.56;14644.30;4.65;10.21
1.10.2006;0.43;15055.90;4.66;9.51
1.1.2007;1.47;15374.00;4.21;8.8
1.4.2007;0.24;15760.30;3.79;8.42
1.7.2007;0.42;16137.20;4.6;8.4
1.10.2007;0.87;17125.50;4.4;8.12
1.1.2008;1.52;16700.20;4;8.36
1.4.2008;0.53;16898.70;4.4;8.52
1.7.2008;1.14;17123.10;4.1;8.73
1.10.2008;1.5;17300.30;3.36;9.34
1.1.2009;1.11;15724.40;2.1;10.71
1.4.2009;0.08;15955.60;1.31;12.7
1.7.2009;0.61;16191.60;0.87;13.66
1.10.2009;0.43;16462.20;0.72;14.28
1.1.2010;2.2;16669.50;0.66;14.37
1.4.2010;0.18;16825.00;0.69;14.13
1.7.2010;0.16;16987.30;0.87;14.7
1.10.2010;0.17;17095.60;1.2;14.12
1.1.2011;0.22;17190.30;1.9;14.4
1.4.2011;0.9;17321.30;1.41;14.46
1.7.2011;0.23;17415.50;1.56;14.68
1.10.2011;0.7;17555.30;1.5;14.83
1.1.2012;-2.75;17599.50;1.4;14.81
1.4.2012;1.16;17646.00;0.7;14.77
1.7.2012;0.47;17687.90;0.36;15
1.10.2012;0.73;17700.40;0.2;15.51
1.1.2013;2.73;17775.70;0.21;15.76
1.4.2013;0.36;17862.30;0.21;15.62
1.7.2013;0.01;17965.50;0.22;15.23
1.10.2013;0.12;18083.20;0.24;14.89
1.1.2014;0.18;18202.50;0.3;14.58
1.4.2014;0.35;18331.10;0.3;14.45
1.7.2014;0.06;18480.90;0.16;14.23
1.10.2014;0.08;18643.70;0.08;13.91
1.1.2015;0.41;18883.40;0.05;13.71
1.4.2015;0.28;19080.50;-0.01;13.32
1.7.2015;0.06;19297.30;-0.03;13.2
1.10.2015;0.06;19472.30;-0.09;12.55
1.1.2016;0.36;19591.30;-0.19;11.8
1.4.2016;0.36;19717.70;-0.26;10.9
1.7.2016;0.05;19839.60;-0.3;10.92
1.10.2016;0.4;19983.00;-0.31;10.28
1.1.2017;1.75;20138.70;-0.33;9.61
1.4.2017;0.36;20311.70;-0.33;8.76
1.7.2017;0.2;20488.00;-0.33;7.78
1.10.2017;0.38;20716.40;-0.33;7.25
1.1.2018;1.51;20933.40;-0.33;6.84
1.4.2018;0.91;21182.20;-0.33;6.7
